epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8855,1.41472,3.92684,1.22059,0.48491,0.07324,0.05533,0.03321,1.39931,2.77812,1.21017,0.00331111,0.00331111,0.00331111
2,85.7144,1.45896,2.67053,1.28934,0.54562,0.11641,0.09911,0.05561,1.51466,2.19797,1.32601,0.00663129,0.00663129,0.00663129
3,125.51,1.48387,2.36667,1.30497,0.58431,0.11136,0.09251,0.05254,1.52927,2.43726,1.32597,0.00993827,0.00993827,0.00993827
4,164.044,1.51773,2.28118,1.31584,0.54624,0.12116,0.09729,0.05358,1.56988,2.30752,1.3812,0.0099406,0.0099406,0.0099406
5,202.127,1.50352,2.19202,1.30749,0.51917,0.16121,0.12841,0.07156,1.49819,2.04976,1.31448,0.0099208,0.0099208,0.0099208
6,240.612,1.48704,2.10155,1.29939,0.46452,0.13806,0.12284,0.06749,1.53261,2.06541,1.33372,0.009901,0.009901,0.009901
7,278.627,1.44834,2.02908,1.28735,0.49005,0.17695,0.14759,0.08501,1.45401,1.89234,1.27901,0.0098812,0.0098812,0.0098812
8,317.315,1.45491,1.95844,1.27303,0.57715,0.17593,0.17464,0.10405,1.41429,1.79845,1.23786,0.0098614,0.0098614,0.0098614
9,355.576,1.41015,1.89954,1.26155,0.62526,0.17778,0.17132,0.09751,1.43879,1.80948,1.2889,0.0098416,0.0098416,0.0098416
10,394.317,1.43721,1.88072,1.26388,0.49279,0.2199,0.17907,0.10369,1.42953,1.77554,1.25251,0.0098218,0.0098218,0.0098218
11,432.712,1.40638,1.81258,1.24604,0.54398,0.23516,0.20203,0.1249,1.36129,1.71561,1.24039,0.009802,0.009802,0.009802
12,470.88,1.39924,1.78354,1.25058,0.56021,0.22186,0.20153,0.12122,1.37833,1.61118,1.23513,0.0097822,0.0097822,0.0097822
13,509.385,1.37368,1.73362,1.22941,0.52228,0.22448,0.20527,0.12083,1.36102,1.6137,1.22746,0.0097624,0.0097624,0.0097624
14,547.812,1.36723,1.70222,1.21821,0.48574,0.23661,0.20268,0.1205,1.38774,1.70221,1.25543,0.0097426,0.0097426,0.0097426
15,586.212,1.36909,1.66223,1.22286,0.5144,0.24648,0.23288,0.14131,1.34529,1.62066,1.2184,0.0097228,0.0097228,0.0097228
16,624.368,1.35861,1.64102,1.21982,0.57566,0.23055,0.22601,0.13832,1.34698,1.56312,1.23415,0.009703,0.009703,0.009703
17,662.622,1.35649,1.6156,1.21531,0.52851,0.26715,0.23485,0.145,1.34905,1.53272,1.22431,0.0096832,0.0096832,0.0096832
18,700.864,1.32975,1.56561,1.20232,0.57702,0.23602,0.25685,0.16324,1.34575,1.55116,1.22718,0.0096634,0.0096634,0.0096634
19,739.009,1.34819,1.56762,1.21236,0.59708,0.24008,0.27822,0.17611,1.31509,1.46115,1.19998,0.0096436,0.0096436,0.0096436
20,777.107,1.33308,1.54641,1.20843,0.5464,0.25544,0.28692,0.1828,1.30464,1.44504,1.18583,0.0096238,0.0096238,0.0096238
21,815.141,1.32708,1.52592,1.19372,0.56672,0.2604,0.28426,0.18094,1.29123,1.41003,1.18226,0.009604,0.009604,0.009604
22,853.185,1.31204,1.50984,1.1925,0.5177,0.25239,0.27594,0.17507,1.27848,1.54909,1.18239,0.0095842,0.0095842,0.0095842
23,891.023,1.31292,1.48818,1.18956,0.59205,0.26977,0.29017,0.19112,1.28118,1.37799,1.17205,0.0095644,0.0095644,0.0095644
24,929.341,1.3045,1.47147,1.18901,0.54541,0.25663,0.27799,0.17832,1.30943,1.46669,1.18361,0.0095446,0.0095446,0.0095446
25,967.552,1.29552,1.44951,1.17962,0.5268,0.29493,0.29467,0.18825,1.28569,1.39454,1.17644,0.0095248,0.0095248,0.0095248
26,1005.43,1.28694,1.45356,1.18943,0.46503,0.30733,0.30518,0.19915,1.29065,1.36587,1.17062,0.009505,0.009505,0.009505
27,1043.44,1.29887,1.45833,1.18881,0.54149,0.26853,0.28802,0.18392,1.26857,1.37577,1.16789,0.0094852,0.0094852,0.0094852
